place-id,place-name,place-type,entry-fee,lat-long,operational-hour,address,place-rating,status,operational-day,place-ownership,description
117,Air Terjun Turunan Buhit (Jabel),Wisata Alam,Gratis,"2.857505631025593, 99.22376443247403",24 Jam,"Tonduhan, Hatonduhan, Simalungun Regency, North Sumatra 21181",4.5,beroperasi,,,
118,Pemandian Alam Sejuk,Wisata Alam,"10,000","2.9699826576528316, 99.16853539384705",08:00 - 18:00,"Dolok Hataran, Kec. Siantar",4.1,beroperasi,,,
119,Bukit Indah Simarjarunjung,Wisata Alam,"5,000","2.813506292007093, 98.78124308864622",24 Jam,"Jl. Simarjarunjung, Butu Bayu Pane Raja, Kec. Dolok Pardamean",4.3,beroperasi,,,
120,Bah Salak Waterfall,Wisata Alam,Gratis,"3.0697986926073986, 99.03394713617631",24 Jam,"Nagur Usang, Tapian Dolok, Simalungun Regency, North Sumatra 21154",4.6,beroperasi,,,
121,Air Terjun Tonduhan,Wisata Alam,Gratis,"2.81000367963384, 99.18851032083141",24 Jam,"Desa Buntu Bayu, Kec. Tonduhan",4.1,beroperasi,,,
122,Kebun Teh Sidamanik,Wisata Alam,,"2.8603077834594752, 98.90801049039571",24 Jam,"Desa Bah Butong, Kec. Sidamanik",4.6,beroperasi,,,
123,Pemandian alam Bah Damanik,Wisata Alam,"5,000","2.8652733364312732, 98.92082604966754",08:00 - 19:00,"Ambarisan, Sidamanik, Simalungun Regency, North Sumatra 21161",4.3,beroperasi,,,
124,Pinus Hills Simarjarunjung,Wisata Alam,Gratis,"2.817192982812153, 98.78272413432407",24 Jam,"Simarjarunjung, Parik Sabungan, Kec. Dolok Pardamean, Kabupaten Simalungun, Sumatera Utara 21163",4.3,beroperasi,,,
125,Kawah Putih Dolok Tinggi Raja,Wisata Alam,Gratis,"3.1498774620014363, 98.78655231898344",09:00 - 17:00,"Dolok Marawa, Silau Kahean, Simalungun Regency, North Sumatra 21157",4.0,beroperasi,,,
126,Tanjung Unta,Wisata Alam,Gratis,"2.7724051204611158, 98.80831802083105",24 Jam,"Jalan St. H.H. Damanik Tambun Raya Pamatang, Tigaras, Kec. Dolok Pardamean, Kabupaten simalungun",4.4,beroperasi,,,
127,Pantai Kenangan,Wisata Alam,Gratis,"2.7844166014427234, 98.8041355073385",07:00 - 12:00,"QRM3+MJ4, Jalan Besar Pematang Siantar Tigaras, Tigaras, Kec. Dolok Pardamean, Kabupaten Simalungun,",4.3,beroperasi,,,
128,Objek Wisata Pantai Paris,Wisata Alam,"15,000","2.801775749425957, 98.7801203650101",24 Jam,"Tigaras, Dolok Pardamean, Simalungun Regency,",4.3,beroperasi,,,
129,Pulau Tao Silalahi,Wisata Alam,Gratis,"2.7910710838099213, 98.53290249199549",07:00 - 17:00 ,"Desa Silalahi I, Kec. Silahisabungan",4.5,beroperasi,,,
130,Wisata Anugerah Indah Sippan,Wisata Alam,Gratis,"2.907177547941996, 98.56500109199624",06:00 - 17:00 ,"Desa Sippan Tigaraja, Kecamatan Pamatang Silimahuta, Naga Saribu, Kec. Pamatang Silima Huta, Kabupaten Simalungun, Sumatera Utara 21167",4.7,beroperasi,,,
131,Manigom Nauli,Wisata Alam,Gratis,"2.8197910091597844, 99.03792030548833",08:00 - 18:00 ,"Buntu Bartong, Tiga Dolok, Kec. Dolok Panribuan, Kabupaten Simalungun, Sumatera Utara",4.4,beroperasi,,,
132,Rumah Bolon Pematang Purba,Wisata Budaya / Sejarah,Gratis,"2.911056526882177, 98.68103992083205",10:00 - 16:00 ,"Desa Pematang Purba, Kec. Purba",4.2,beroperasi,,,
133,Simalungun Museum,Wisata Budaya / Sejarah,"5,000","2.9545982120070553, 99.06099711563836",07:00 - 17:00 ,"Jalan Jenderal Sudirman P, Proklamasi, Kec. Siantar Bar., Kota Pematang Siantar, Sumatera Utara 21144",4.2,beroperasi,,,
134,Pemandian Air Soda Parbubu,Wisata Alam,"5,000","2.000828288473734, 98.96587407664778",09:00 - 17:00,"Desa Parbubu, Kecamatan Tarutung",4.1,beroperasi,,,
135,Tamaro Hot Spring,Wisata Alam,"10,000","2.0274519793105066, 98.97834895977934",06:00 - 22:00,"Jl. AM. Tambunan, Hutabarat, Partali Toruan, Kec. Tarutung, Kabupaten Tapanuli Utara, Sumatera Utara 22413",4.3,beroperasi,,,
136,Pulau Pardepur,Wisata Alam,Gratis,"2.3521438085688113, 98.8997419990097",24 Jam,"Sibandang, Muara, North Tapanuli Regency, North Sumatra",4.3,beroperasi,,,
137,Galeri Umkm Tapanuli Utara,Wisata Alam,Gratis,"2.0748359775581573, 98.94342494781242",24 Jam,"Situmeang Hasundutan, North Tapanuli Regency, North Sumatra",4.5,beroperasi,,,
138,Sopo Partungkoan Tarutung,Wisata Budaya / Sejarah,Gratis,"2.0244091293210404, 98.96240994781218",10:00 - 17:00 ,"Desa Hutatoruan VI, Kecamatan Tarutung, Kabupaten Tapanuli Utara.",4.3,beroperasi,,,
139,Air Terjun Nai sogop,Wisata Alam,Gratis,"2.591226177946073, 98.62214953172492",07.00 - 18.00,"HJQC+JHW, Sarimarrihit, Kec. Sianjur Mula Mula, Kabupaten Samosir, Sumatera Utara 22396",4.4,beroperasi,,,
