place,type,entry-fee,rating,addons,add,service-hour,review,
Kampung Ulos Hutaraja,Wisata Budaya / Sejarah,Gratis,4.6,"toilet, praktik membuat kain songket, rumah adat ","Kampung ulos, Huta Bolon, Kec. Pangururan, Kabupaten Samosir, Sulawesi Utara 22392 MM7Q+HJ",08.00 - 17.00,"""Salah satu tujuan wisata di Pulau Samosir yang menyajikan budaya Batak.""",
Patung Sigalegale,Wisata Budaya / Sejarah,5.000 - 10.000,4.6,"toko pakaian, toko souvenir","MV26+P8P, Tomok, Simanindo, Kabupaten Samosir, Sumatera Utara 22395",08.00 - 19.00,"""Ikon di Palau Samosir, pengalaman berkunjung kesini sebenarnya tidak ada tiket masuk, hanya saja kalau mau foto dengan pakaian adat bolehlah kasih 5000/orang untuk foto di depan rumah adat. Ada juga acara menari di depan patung Sigale-gale, bila ingin tengok bayar 100  per rombongan. Terdapat banyak toko pakaian dan souvenir di sepanjang lorong menuju museum. Suasananya cukup bagus di dalamnya.""",
Istana Raja Sisingamangaraja,Wisata Budaya / Sejarah,5.000 - 10.000,4.6,"sejarah keturunan sisingamanagraja, rumah adat batak","8R47+82P, Simamora, Kec. Bakti Raja, Kabupaten Humbang Hasundutan, Sumatera Utara 22457",24 jam,"""Istana Raja Sisingamangaraja
Tempat sejarah keturunan dari Sisingamangaraja
Terdapat banyak budaya Batak disini salah satunya rumah adat Batak.""",
Batu Kursi Raja Siallagan ( Stone Chair of King Siallagan ),Wisata Budaya / Sejarah,10.000 - 25.000,4.5,"tempat bersejarah, spot foto","Siallagan Pindaraya, Jl. Lkr. Tuktuk, Simanindo, Kabupaten Samosir, Sumatera Utara 22395 MRHP+JC",08.00 - 18.00,"""Huta sialagan yang terletak di desa Siallagan merupakan salah satu destinasi wisata yang menurutku wajib dikunjungi, disini kalian dapat melihat beagai jenis rumah bolon ( rumah adat Batak Toba ) yang memiliki ciri dan keunikan yang khas , selain itu kita juga akan melihat adanya batu persidangan yang dimana merupakan tempat untuk membuat keputusan dan mengadili pelaku kejahatan pada saat itu .. yang terdiri atas bangku raja, penasehat, dukun, terdakwa dan pelaku kejahatan. Dan gak perlu khawatir, di tempat ini juga telah tersedia tour guide yang akan memandu seluruh wisatawan yang berkunjung untuk dapat memahami setiap elemen dan benda yang ada di tempat ini. Untuk fee ( uang masuk ) hanya 10 ribu rupiah saja. Terimakasih 😁
Waktu kunjungan""",
Sopo Guru Tatea Bulan | ᯘᯬᯇᯬ ᯎᯮᯒᯮ ᯖᯖᯩᯀ ᯅᯮᯞᯉ᯲,Wisata Budaya / Sejarah,5.000 - 10.000,4.7,"pemandangan indah, tempat bersejarah, spot foto","HJRJ+Q7R, Sarimarrihit, Kec. Sianjur Mula Mula, Kabupaten Samosir, Sumatera Utara 22396",24 jam,"""Tempatnya bersih, selalu diberisihin. Tiket masuk 5. Oiya, kalau ngasih tiket kata tukang bersih bersihnya sama dia aja, jangan sama warung yang di depan.""",
Rumah Pesanggrahan Bung Karno,Wisata Budaya / Sejarah,Gratis,4.6,sejuk,"Pantai mercusuar, Parapat, Kec. Girsang Sipangan Bolon, Kabupaten Simalungun, Sumatera Utara 21174 MW8G+5H",09.00 - 17.00,"""Rumah ini dulu adalah tempat pengasingan 3 serangkai pejuang kita Soekarno, Sutan Syahrir dan Agus Salim, yang dipindahkan dari pengasingan semula di Brastagi. Banyak cerita menarik yang disampaikan oleh juru pelihara rumah ini. Lokasinya prima di tepi Danau Toba, udara sejuk cenderung dingin di pagi hari dan kehangatan mengiringi view senja yang mempesona. Tempat yang sangat disarankan untuk dikunjungi.""",
"Museum Huta Bolon Simanindo
",Wisata Budaya / Sejarah,10.000 - 20.000,4.2,"bunga - bunga indah, rumah adat, desa adat","QP2V+VJX, Jalan Pelabuhan, Simanindo Sangkal, Simanindo, Samosir Regency, North Sumatra 22395",08.00 - 17.00,"""Jadi kami dibawa ke sini sebagai bagian dari tur untuk melihat museum Batak tetapi Anda harus pergi hanya untuk taman! Biaya masuknya adalah 20K per orang yang tidak berarti apa-apa untuk pemandangan yang luar biasa dan bunga-bunga yang indah. Pemiliknya beicara bahasa Inggris dengan baik dan sangat ramah. Dia bilang dia juga menjalankan tempat tidur dan sarapan (tampaknya dapat ditemukan di booking.com).

Selain dari satu pasangan saya melihat tinggal di sana kami adalah satu-satunya orang. Terdapat papan informasi tentang tradisi Batak di luar bangunan namun tidak ada label di dalam rumah induk yang memuat artefak. Ada museum utama/rumah adat, beberapa kuburan, desa adat (kami tidak masuk ke dalam rumah desa mana pun karena ada beberapa serangga raksasa beteangan yang tampak agresif).

Untuk elemen museum Batak saja saya akan mengatakan ini adalah bintang 3 atau 4 karena memiliki informasi dalam bahasa Inggris tetapi bisa lebih menyeluruh mengenai artefak. Tapi untuk taman saya akan membayar lebih! Perlu juga disebutkan bahwa toiletnya bersih, ada tisu toilet, dan ada sabun di wastafel.""",
Tugu Toga Aritonang,Wisata Budaya / Sejarah,Gratis,4.5,"pemandangan indah, tempat bersejarah, spot foto","8WQR+RQ Desa, Dolok Martumbur, Kec. Muara, Kabupaten Tapanuli Utara, Sumatera Utara 22476",24 jam,"""Tugu persatuan Marga Aritonang (Ompusunggu, Rajagukguk, dan Simare-mare). Letaknya berada di atas bukit yang sangat indah. Bisa melihat luasnya hamparan Danau Toba dan desa Buntu Raja yang berkelok-kelok tepat di bawah Hutaginjang.""",
Pemandian Aek Sipitu Dai,Wisata Budaya / Sejarah,"10,000",4.3,air dengan 7 rasa,"HJHX+F2X, Aek Sipitudai, Kec. Sianjur Mula Mula, Kabupaten Samosir, Sumatera Utara 22396",06.00 - 23.00,"""Tempatnya bukan pemandian ya sebenarnya lebih ke membasuh diri. 1 bilik 4 Mata air, 1 bilik lagi 3 Mata air. Tempat sakral jadi ga boleh pakai kasut, ulos boleh dipakai Dan akan disandangkan sesuai adat setempat. Ada aturannya. Tempatnya rada berlumut jadi mau hati hati melangkah. Di samping, pemandangan sawah bagus banget""",
Labersa Toba Fantasi Waterpark,Wisata Buatan,40.000 - 50.000,"3,7","wahana air, restoran, toilet, gazebo, pelampung, area parkir","Jl. Saribu Raja, Saribu Raja Janji Maria, Kec. Balige, Toba, Sumatera Utara",09.00 - 18.00,"""Di sisi lain utk usia 65 keatas bila bawa KTP akan free of charge.""",
TB Silalahi Swimming Pool,Wisata Buatan,15.000 - 20.000,"4,0","Tempat makan, tribun penonton, toilet","82MW+RWJ, Silalahi Pagar Batu, Kec. Balige, Toba, Sumatera Utara 22312",09.00 - 18.00,"""Kolam renang ini menyediakan Tiket Masuk Hari Senin - Jumat Rp.""",
Taman Eden 100,Wisata Rohani,7.500 - 15.000,"4,5","Jalur tracking, panorama air terjun","Ps. Lumban Julu, Kec. Lumban Julu, Toba, Sumatera Utara 22386",08.00 - 18.00,"""Terdapat jalur trekking yg fun dengan panorama pegunungan dan air terjun.""",
Bukit Doa,Wisata Rohani,Gratis,"4,5","banyak ruangan doa, toilet","8X7J+W4F, Huta Ginjang, Kec. Muara, Kabupaten Tapanuli Utara, Sumatera Utara 22476",24 jam ,"""Tempat yg indah, sejuk dan tenang dengan view danau toba yg bagus banget.""",
Makam DR. I.L. Nommensen,Wisata Rohani,Gratis,4.5,"sejuk, asri","95W4+39V, Sigumpar Dangsina, Kec. Sigumpar, Toba, Sumatera Utara 22384",24 jam,"""Mengenang sejarah perkembangan Gereja di Sumut""",
Gereja Tua HKBP SIgumpar,Wisata Rohani,Gratis,4.7,dekat dengan makam DR. I. L. Nommensen,"Jln.Pdt.DR.IL.NOMMENSEN no.1 Sigumpar, Sigumpar Dangsina, Kec. Sigumpar, Toba, Sumatera Utara 22384  95V4+WX",24 jam,"""Sebuah gereja yang masi memiliki arsitektur zaman dulu..dibelakang gereja ini terdapat makan misionaris dr.I.L.Nomensen""",
Gereja Tua HKBP Balige,Wisata Rohani,Gratis,4.7,"dekat dengan Rumah Sakit HKBP Balige, Gedung Seaguna","83J8+8XW, Jl. Gereja, Balige III, Kec. Balige, Toba, Sumatera Utara 22314",10.00 - 16.00,"""Sangat indah dan megah""",
Taman Wisata Iman Dairi,Wisata Rohani,5.000 - 20.000,4.3,"Spot foto, tempat berdoa","Jalan Sidikalang - Medan No.5, Sitinjo, Kec. Sitinjo, Kabupaten Dairi, Sumatera Utara 22281 P9JM+Q5",08.00 - 19.00,"""Tempat wisata yang sangat indah. Ada beagai rumah Ibadah dalam komplek Taman Wisata Iman, cocok sebagai tempat wisata religi. Saya mengunjungi Vihara saddhavana. Aura vihara hutan sangat kental.  Cuaca selalu sejuk, malemnya sangat sejuk. Termasuk tempat paling sejuk di Sumatera utara""",
Salib Kasih Tarutung,Wisata Rohani,5.000 - 20.000,4.6,"pemandangan alam pohon, udara sejuk, spot foto","2292+3HV, Dolok Siatas Barita, Sosunggulon, Kec. Tarutung, Kabupaten Tapanuli Utara, Sumatera Utara 22416",08.00 - 18.00,"""Objek wisata rohani untuk umat kristiani yang sangat populer di Tarutung. Lokasinya berada di puncak bukit sehingga untuk mencapai salib ini perlu sedikit effort untuk mendaki melewati jalan setapak diantara hutan pinus. Tapi tenang bagi yg tidak sanggup, ada jasa ojek motor yg siap sedia membawa kita ke atas. Walau tempat ini sudah cukup lama berdiri, tapi saat musim liburan masih ramai sekali dikunjungi. Tiket masuknya murah, saya lupa pastinya tapi dibawah 20 per orang dan wajib cashless menggunakan QRIS""",
"Patung Yesus, Bukit Sibeabea",Wisata Rohani,30.000 - 100.000,4.7,"Patung Yesus setinggi 61 meter, spot foto","HM2C+7X Turpuk Sihotang, Kec. Harian, Kabupaten Samosir, Sumatera Utara 22396",24 jam,"""Saya sangat suka sekali kesini,
Area nya bagus, jalanan bagus
Masuk sepeda motor 30 
Mobil 100 
Di dalam terserah berapa lama, bisa ubeg2 stiap sudut view yang bagus.
Menurutku sangat sangat worth it dan amazing, i love it""",
Taman Wisata Goa Bunda Maria,Wisata Rohani,Gratis,4.8,tempat berdoa,"FRR5+X58, Gorat Pallombuan, Kec. Palipi, Kabupaten Samosir, Sumatera Utara 22393",08.00 - 18.00,"""Wisata Goa Bunda Maria yang berada di Palipi, Samosir. Masih sedikit yang tahu tempat ini. Jalan menuju kesini bagus, sudah aspal semua dan tidak sulit untuk menemukan tempat ini. Silahlan pasang di google maps dan kamu akan diarahkan tepat ditempat ini. Susternya ramah dan hangat dalam menyambut tamu yang datang. Disediakan lilin untuk berdoa dan ada kotak sumbangan seikhlas hati. Tempat yang nyaman untuk meneduhkan hati dengan pemandangan yang sangat indah dan menyejukkan mata. Kalian harus kesini hehehe""",
"Balerong - Balige, Toba Samosir, North Sumatra, Indonesia",Balai Masyarakat,Gratis,"4,3",Spot foto,"Jl. Lintas Sumatera No.88, Napitupulu Bagasan, Kec. Balige, Toba, Sumatera Utara 22312",24 jam ,"""Berharap segera bisa dibuka shg tdk berdagang di area kaki lima""",
Museum Batak T.B. Silalahi Center,Museum ,10.000 - 20.000,"4,6","Tempat sejarah, spot foto","Jl. Dr. TB. Silalahi No.88, Silalahi Pagar Batu, Kec. Balige, Toba, Sumatera Utara 20553",08.30 - 16.30,"""20.000 bebas menelusuri wilayah museum dan tiket parkir mobil Rp.""",
"Batak Museum
",Museum ,Gratis,4.3,benda - benda kuno khas adat batak ,"MV26+725, Tomok, Simanindo, Kabupaten Samosir, Sumatera Utara 22395",08.00 - 20.00,"""Museum batak yang wajib dikunjungi jika berkunjung ke samosir, sebelum sampai kesini kita harus melewati pasar dahulu. Didalam museum kita dapat melihat benda2 kuno bersejarah khas adat batak samosir. Biaya masuk ke dalam Gratis, hanya perlu memberikan sumbangan sukarela untuk maintenance lokasi.""",
Pasar Tomok,Wisata Bisnis,5.000 - 10.000,4.4,"penjual ramah, kuliner khas batak","MV27+R3C, Tomok, Simanindo, Kabupaten Samosir, Sumatera Utara 22395",07.35 - 19.00,"""Went to shopping at Pasar Tomok, tempatnya cukup banyak stand, dan dekat ke beberapa lokasi seperti Patung menari Sigale-gale, Makam Raja Sidabutar. Orang Samosir juga rata2 ramah ke pengunjung luar 👍

Untuk barang yg di sini relatif lebih terjangkau, dan bisa menawar (bargaining price), better belanja disini jika mau beli banyak.

Shoutout to Inang dan bpk yang menjual baju disini, their authenticity and hospitality is heart warming""",
